event_date,attendance_count,num_games,num_draws,unique_players,games_per_player,draw_rate,source_type,source_note,new_players_count,returning_players_count,year,month,day_of_month,day_of_week,is_sunday,week_of_year,season,is_beginning_of_month,is_end_of_month,is_holiday_week,is_school_break,previous_event_attendance,attendance_two_events_ago,rolling_3_event_attendance,rolling_5_event_attendance,rolling_10_event_attendance,attendance_trend_last_3,attendance_trend_last_5,previous_event_num_games,previous_event_unique_players,previous_event_new_players_count,previous_event_returning_players_count,previous_event_draw_rate,previous_event_games_per_player,rolling_3_avg_num_games,rolling_3_avg_new_players,rolling_3_avg_returning_players,days_since_last_event,biweekly_event_indicator,weekly_event_indicator,back_to_back_event_indicator,first_event_after_long_break,previous_event_high_turnout,events_this_month_so_far,event_number_overall,event_number_in_year,high_turnout,_median_attendance_used
2024-01-07,20,41.0,3.0,20,2.05,0.07317073170731707,game_logs,,4,16,2024,1,7,6,1,1,winter,1,0,0,0,18.0,22.0,16.666666666666668,17.2,15.5,8.0,-1.0,41.0,18.0,3.0,15.0,0.0,2.2777777777777777,39.0,3.0,13.666666666666666,28.0,0,0,0,0,1,0,30,0,1,15.0
2024-01-14,19,58.0,4.0,19,3.0526315789473686,0.06896551724137931,game_logs,,1,18,2024,1,14,6,1,2,winter,0,0,1,0,20.0,18.0,20.0,17.4,16.3,-2.0,3.0,41.0,20.0,4.0,16.0,0.07317073170731707,2.05,44.333333333333336,4.333333333333333,15.666666666666666,7.0,0,1,0,0,1,1,31,1,1,15.0
2024-01-28,11,22.0,0.0,11,2.0,0.0,game_logs,,0,11,2024,1,28,6,1,4,winter,0,1,0,0,19.0,20.0,19.0,17.8,16.9,1.0,9.0,58.0,19.0,1.0,18.0,0.06896551724137931,3.0526315789473686,46.666666666666664,2.6666666666666665,16.333333333333332,14.0,1,0,0,0,1,2,32,2,0,15.0
2024-02-11,18,34.0,0.0,18,1.8888888888888888,0.0,game_logs,,2,16,2024,2,11,6,1,6,winter,0,0,0,0,11.0,19.0,16.666666666666668,18.0,16.9,-9.0,-11.0,22.0,11.0,0.0,11.0,0.0,2.0,40.333333333333336,1.6666666666666667,15.0,14.0,1,0,0,0,0,0,33,3,1,15.0
2024-02-25,13,30.0,0.0,13,2.3076923076923075,0.0,game_logs,,0,13,2024,2,25,6,1,8,winter,0,1,0,0,18.0,11.0,16.0,17.2,17.2,-1.0,0.0,34.0,18.0,2.0,16.0,0.0,1.8888888888888888,38.0,1.0,15.0,14.0,1,0,0,0,1,1,34,4,0,15.0
2024-03-10,11,23.0,0.0,11,2.090909090909091,0.0,game_logs,,3,8,2024,3,10,6,1,10,spring,0,0,0,1,13.0,18.0,14.0,16.2,16.7,2.0,-7.0,30.0,13.0,0.0,13.0,0.0,2.3076923076923075,28.666666666666668,0.6666666666666666,13.333333333333334,14.0,1,0,0,0,0,0,35,5,0,15.0
2024-03-24,12,30.0,2.0,12,2.5,0.06666666666666667,game_logs,,1,11,2024,3,24,6,1,12,spring,0,1,0,0,11.0,13.0,14.0,14.4,15.9,-7.0,-8.0,23.0,11.0,3.0,8.0,0.0,2.090909090909091,29.0,1.6666666666666667,12.333333333333334,14.0,1,0,0,0,0,1,36,6,0,15.0
2024-04-07,14,37.0,2.0,14,2.642857142857143,0.05405405405405406,game_logs,,0,14,2024,4,7,6,1,14,spring,1,0,0,0,12.0,11.0,12.0,13.0,15.4,-1.0,1.0,30.0,12.0,1.0,11.0,0.06666666666666667,2.5,27.666666666666668,1.3333333333333333,10.666666666666666,14.0,1,0,0,0,0,0,37,7,0,15.0
2024-04-21,22,61.0,2.0,22,2.772727272727273,0.03278688524590164,game_logs,,4,18,2024,4,21,6,1,16,spring,0,0,0,0,14.0,12.0,12.333333333333334,13.6,15.8,3.0,-4.0,37.0,14.0,0.0,14.0,0.05405405405405406,2.642857142857143,30.0,1.3333333333333333,11.0,14.0,1,0,0,0,0,1,38,8,1,15.0
2024-04-28,19,41.0,2.0,19,2.1578947368421053,0.04878048780487805,game_logs,,0,19,2024,4,28,6,1,17,spring,0,1,0,0,22.0,14.0,16.0,14.4,15.8,10.0,9.0,61.0,22.0,4.0,18.0,0.03278688524590164,2.772727272727273,42.666666666666664,1.6666666666666667,14.333333333333334,7.0,0,1,0,0,1,2,39,9,1,15.0
2024-05-05,16,28.0,0.0,16,1.75,0.0,game_logs,,0,16,2024,5,5,6,1,18,spring,1,0,0,0,19.0,22.0,18.333333333333332,15.6,15.9,5.0,8.0,41.0,19.0,0.0,19.0,0.04878048780487805,2.1578947368421053,46.333333333333336,1.3333333333333333,17.0,7.0,0,1,0,0,1,0,40,10,1,15.0
2024-05-19,10,25.0,1.0,10,2.5,0.04,game_logs,,0,10,2024,5,19,6,1,20,spring,0,0,0,0,16.0,19.0,19.0,16.6,15.5,-6.0,4.0,28.0,16.0,0.0,16.0,0.0,1.75,43.333333333333336,1.3333333333333333,17.666666666666668,14.0,1,0,0,0,0,1,41,11,0,15.0
2024-06-02,13,30.0,2.0,13,2.3076923076923075,0.06666666666666667,game_logs,,0,13,2024,6,2,6,1,22,summer,1,0,0,1,10.0,16.0,15.0,16.2,14.6,-9.0,-4.0,25.0,10.0,0.0,10.0,0.04,2.5,31.333333333333332,0.0,15.0,14.0,1,0,0,0,0,0,42,12,0,15.0
2024-06-23,11,25.0,0.0,11,2.272727272727273,0.0,game_logs,,1,10,2024,6,23,6,1,25,summer,0,0,0,1,13.0,10.0,13.0,16.0,14.8,-3.0,-9.0,30.0,13.0,0.0,13.0,0.06666666666666667,2.3076923076923075,27.666666666666668,0.0,13.0,21.0,0,0,0,0,0,1,43,13,0,15.0
2024-07-07,13,29.0,0.0,13,2.230769230769231,0.0,game_logs,,0,13,2024,7,7,6,1,27,summer,1,0,1,1,11.0,13.0,11.333333333333334,13.8,14.1,1.0,-8.0,25.0,11.0,1.0,10.0,0.0,2.272727272727273,26.666666666666668,0.3333333333333333,11.0,14.0,1,0,0,0,0,0,44,14,0,15.0
2024-07-21,22,101.0,0.0,22,4.590909090909091,0.0,game_logs,,2,20,2024,7,21,6,1,29,summer,0,0,0,1,13.0,11.0,12.333333333333334,12.6,14.1,0.0,-3.0,29.0,13.0,0.0,13.0,0.0,2.230769230769231,28.0,0.3333333333333333,12.0,14.0,1,0,0,0,0,1,45,15,1,15.0
2024-08-11,17,40.0,0.0,17,2.3529411764705883,0.0,game_logs,,1,16,2024,8,11,6,1,32,summer,0,0,0,0,22.0,13.0,15.333333333333334,13.8,15.2,11.0,12.0,101.0,22.0,2.0,20.0,0.0,4.590909090909091,51.666666666666664,1.0,14.333333333333334,21.0,0,0,0,0,1,0,46,16,1,15.0
2024-08-25,15,35.0,0.0,15,2.3333333333333335,0.0,game_logs,,0,15,2024,8,25,6,1,34,summer,0,1,0,0,17.0,22.0,17.333333333333332,15.2,15.7,4.0,4.0,40.0,17.0,1.0,16.0,0.0,2.3529411764705883,56.666666666666664,1.0,16.333333333333332,14.0,1,0,0,0,1,1,47,17,1,15.0
2024-09-08,14,32.0,2.0,14,2.2857142857142856,0.0625,game_logs,,4,10,2024,9,8,6,1,36,fall,0,0,0,0,15.0,17.0,18.0,15.6,15.8,-7.0,4.0,35.0,15.0,0.0,15.0,0.0,2.3333333333333335,58.666666666666664,1.0,17.0,14.0,1,0,0,0,0,0,48,18,0,15.0
2024-09-15,15,29.0,0.0,15,1.9333333333333333,0.0,game_logs,,1,14,2024,9,15,6,1,37,fall,0,0,0,0,14.0,15.0,15.333333333333334,16.2,15.0,-3.0,1.0,32.0,14.0,4.0,10.0,0.0625,2.2857142857142856,35.666666666666664,1.6666666666666667,13.666666666666666,7.0,0,1,0,0,0,1,49,19,1,15.0
2024-09-29,19,47.0,0.0,19,2.473684210526316,0.0,game_logs,,2,17,2024,9,29,6,1,39,fall,0,1,0,0,15.0,14.0,14.666666666666666,16.6,14.6,0.0,-7.0,29.0,15.0,1.0,14.0,0.0,1.9333333333333333,32.0,1.6666666666666667,13.0,14.0,1,0,0,0,0,2,50,20,1,15.0
2024-10-13,13,30.0,1.0,13,2.3076923076923075,0.03333333333333333,game_logs,,0,13,2024,10,13,6,1,41,fall,0,0,1,0,19.0,15.0,16.0,16.0,14.9,5.0,2.0,47.0,19.0,2.0,17.0,0.0,2.473684210526316,36.0,2.3333333333333335,13.666666666666666,14.0,1,0,0,0,1,0,51,21,0,15.0
2024-10-27,16,39.0,3.0,16,2.4375,0.07692307692307693,game_logs,,2,14,2024,10,27,6,1,43,fall,0,1,0,0,13.0,19.0,15.666666666666666,15.2,15.2,-2.0,-2.0,30.0,13.0,0.0,13.0,0.03333333333333333,2.3076923076923075,35.333333333333336,1.0,14.666666666666666,14.0,1,0,0,0,0,1,52,22,1,15.0
2024-11-10,14,35.0,1.0,14,2.5,0.02857142857142857,game_logs,,1,13,2024,11,10,6,1,45,fall,0,0,1,0,16.0,13.0,16.0,15.4,15.5,-3.0,2.0,39.0,16.0,2.0,14.0,0.07692307692307693,2.4375,38.666666666666664,1.3333333333333333,14.666666666666666,14.0,1,0,0,0,0,0,53,23,0,15.0
2024-11-24,14,36.0,2.0,14,2.5714285714285716,0.05555555555555555,game_logs,,1,13,2024,11,24,6,1,47,fall,0,1,0,0,14.0,16.0,14.333333333333334,15.4,15.8,1.0,-1.0,35.0,14.0,1.0,13.0,0.02857142857142857,2.5,34.666666666666664,1.0,13.333333333333334,14.0,1,0,0,0,0,1,54,24,0,15.0
2024-12-08,13,28.0,0.0,13,2.1538461538461537,0.0,game_logs,,1,12,2024,12,8,6,1,49,winter,0,0,0,0,14.0,14.0,14.666666666666666,15.2,15.9,-2.0,-5.0,36.0,14.0,1.0,13.0,0.05555555555555555,2.5714285714285716,36.666666666666664,1.3333333333333333,13.333333333333334,14.0,1,0,0,0,0,0,55,25,0,15.0
2024-12-22,12,30.0,1.0,12,2.5,0.03333333333333333,game_logs,,2,10,2024,12,22,6,1,51,winter,0,0,1,1,13.0,14.0,13.666666666666666,14.0,15.0,-1.0,0.0,28.0,13.0,1.0,12.0,0.0,2.1538461538461537,33.0,1.0,12.666666666666666,14.0,1,0,0,0,0,1,56,26,0,15.0
2025-01-05,15,31.0,0.0,15,2.066666666666667,0.0,game_logs,,1,14,2025,1,5,6,1,1,winter,1,0,0,1,12.0,13.0,13.0,13.8,14.5,-2.0,-4.0,30.0,12.0,2.0,10.0,0.03333333333333333,2.5,31.333333333333332,1.3333333333333333,11.666666666666666,14.0,1,0,0,0,0,0,57,0,1,15.0
2025-01-19,15,35.0,0.0,15,2.3333333333333335,0.0,game_logs,,4,11,2025,1,19,6,1,3,winter,0,0,1,0,15.0,12.0,13.333333333333334,13.6,14.5,2.0,1.0,31.0,15.0,1.0,14.0,0.0,2.066666666666667,29.666666666666668,1.3333333333333333,12.0,14.0,1,0,0,0,0,1,58,1,1,15.0
2025-02-23,12,,,12,,,standings_summary,Swiss standings table pasted manually,3,9,2025,2,23,6,1,8,winter,0,0,0,0,15.0,15.0,14.0,13.8,14.6,3.0,1.0,35.0,15.0,4.0,11.0,0.0,2.3333333333333335,32.0,2.3333333333333335,11.666666666666666,35.0,0,0,0,1,0,0,59,2,0,15.0
2025-03-09,9,,,9,,,standings_summary,Swiss standings table pasted manually,1,8,2025,3,9,6,1,10,spring,0,0,0,0,12.0,15.0,14.0,13.4,14.3,-3.0,-1.0,,12.0,3.0,9.0,,,33.0,2.6666666666666665,11.333333333333334,14.0,1,0,0,0,0,0,60,3,0,15.0
2025-03-16,10,,,10,,,standings_summary,Swiss standings table pasted manually,2,8,2025,3,16,6,1,11,spring,0,0,0,1,9.0,12.0,12.0,12.6,13.3,-6.0,-3.0,,9.0,1.0,8.0,,,35.0,2.6666666666666665,9.333333333333334,7.0,0,1,0,0,0,1,61,4,0,15.0
2025-03-23,11,,,11,,,standings_summary,Swiss standings table pasted manually,0,11,2025,3,23,6,1,12,spring,0,0,0,0,10.0,9.0,10.333333333333334,12.2,13.0,-2.0,-5.0,,10.0,2.0,8.0,,,,2.0,8.333333333333334,7.0,0,1,0,0,0,2,62,5,0,15.0
2025-03-30,8,,,8,,,standings_summary,Swiss standings table pasted manually,3,5,2025,3,30,6,1,13,spring,0,1,0,0,11.0,10.0,10.0,11.4,12.5,2.0,-4.0,,11.0,0.0,11.0,,,,1.0,9.0,7.0,0,1,0,0,0,3,63,6,0,15.0
2025-04-10,8,,,8,,,standings_summary,Swiss standings or pairing summary pasted manually,4,4,2025,4,10,3,0,15,spring,0,0,0,0,8.0,11.0,9.666666666666666,10.0,11.9,-2.0,-4.0,,8.0,3.0,5.0,,,,1.6666666666666667,8.0,11.0,0,0,0,0,0,0,64,7,0,15.0
2025-04-13,16,,,16,,,standings_summary,Swiss standings or pairing summary pasted manually,1,15,2025,4,13,6,1,15,spring,0,0,0,0,8.0,8.0,9.0,9.2,11.3,-3.0,-1.0,,8.0,4.0,4.0,,,,2.3333333333333335,6.666666666666667,3.0,0,0,1,0,0,1,65,8,1,15.0
2025-04-27,20,,,20,,,standings_summary,Swiss standings or pairing summary pasted manually,1,19,2025,4,27,6,1,17,spring,0,1,0,0,16.0,8.0,10.666666666666666,10.6,11.6,8.0,6.0,,16.0,1.0,15.0,,,,2.6666666666666665,8.0,14.0,1,0,0,0,1,2,66,9,1,15.0
2025-05-11,12,,,12,,,standings_summary,Swiss standings or pairing summary pasted manually (excluded duplicate/empty Israel row; Briwn standardized to Brian),2,10,2025,5,11,6,1,19,spring,0,0,0,0,20.0,16.0,14.666666666666666,12.6,12.4,12.0,9.0,,20.0,1.0,19.0,,,,2.0,12.666666666666666,14.0,1,0,0,0,1,0,67,10,0,15.0
2025-06-15,10,,,10,,,standings_summary,Swiss standings or pairing summary pasted manually,2,8,2025,6,15,6,1,24,summer,0,0,0,1,12.0,20.0,16.0,12.8,12.1,-4.0,4.0,,12.0,2.0,10.0,,,,1.3333333333333333,14.666666666666666,35.0,0,0,0,1,0,0,68,11,0,15.0
2025-06-29,10,,,10,,,standings_summary,Swiss standings or pairing summary pasted manually,3,7,2025,6,29,6,1,26,summer,0,1,0,1,10.0,12.0,14.0,13.2,11.6,-10.0,2.0,,10.0,2.0,8.0,,,,1.6666666666666667,12.333333333333334,14.0,1,0,0,0,0,1,69,12,0,15.0
2025-07-13,15,,,15,,,standings_summary,Swiss standings or pairing summary pasted manually (Haleugh standardized to Haleigh),3,12,2025,7,13,6,1,28,summer,0,0,0,1,10.0,10.0,10.666666666666666,13.6,11.4,-2.0,-6.0,,10.0,3.0,7.0,,,,2.3333333333333335,8.333333333333334,14.0,1,0,0,0,0,0,70,13,1,15.0
2025-07-27,14,,,14,,,standings_summary,Swiss standings or pairing summary pasted manually,3,11,2025,7,27,6,1,30,summer,0,1,0,1,15.0,10.0,11.666666666666666,13.4,12.0,5.0,-5.0,,15.0,3.0,12.0,,,,2.6666666666666665,9.0,14.0,1,0,0,0,1,1,71,14,0,15.0
2025-08-10,9,,,9,,,standings_summary,Swiss standings or pairing summary pasted manually,1,8,2025,8,10,6,1,32,summer,0,0,0,0,14.0,15.0,13.0,12.2,12.4,4.0,2.0,,14.0,3.0,11.0,,,,3.0,10.0,14.0,1,0,0,0,0,0,72,15,0,15.0
2025-08-24,10,,,10,,,standings_summary,Swiss standings or pairing summary pasted manually,0,10,2025,8,24,6,1,34,summer,0,1,0,0,9.0,14.0,12.666666666666666,11.6,12.2,-6.0,-1.0,,9.0,1.0,8.0,,,,2.3333333333333335,10.333333333333334,14.0,1,0,0,0,0,1,73,16,0,15.0
2025-09-07,14,,,14,,,standings_summary,Swiss standings or pairing summary pasted manually,3,11,2025,9,7,6,1,36,fall,1,0,0,0,10.0,9.0,11.0,11.6,12.4,-4.0,0.0,,10.0,0.0,10.0,,,,1.3333333333333333,9.666666666666666,14.0,1,0,0,0,0,0,74,17,0,15.0
2025-09-21,13,,,13,,,standings_summary,Swiss standings or pairing summary pasted manually (excluded duplicate/empty Israel row),2,11,2025,9,21,6,1,38,fall,0,0,0,0,14.0,10.0,11.0,12.4,13.0,5.0,-1.0,,14.0,3.0,11.0,,,,1.3333333333333333,9.666666666666666,14.0,1,0,0,0,0,1,75,18,0,15.0
2025-10-05,21,47.0,3.0,21,2.238095238095238,0.06382978723404255,game_logs,,6,15,2025,10,5,6,1,40,fall,1,0,0,0,13.0,14.0,12.333333333333334,12.0,12.7,3.0,-1.0,,13.0,2.0,11.0,,,,1.6666666666666667,10.666666666666666,14.0,1,0,0,0,0,0,76,19,1,15.0
